Entry	Entry Name	Gene Names	Protein names	GeneID	Organism
Q9BTL4	IER2_HUMAN	IER2 ETR101 PIP92	Immediate early response gene 2 protein (Protein ETR101)	9592;	Homo sapiens (Human)
P35475	IDUA_HUMAN	IDUA	Alpha-L-iduronidase (EC 3.2.1.76)	3425;	Homo sapiens (Human)
P22304	IDS_HUMAN	IDS SIDS	Iduronate 2-sulfatase (EC 3.1.6.13) (Alpha-L-iduronate sulfate sulfatase) (Idursulfase) [Cleaved into: Iduronate 2-sulfatase 42 kDa chain; Iduronate 2-sulfatase 14 kDa chain]	3423;	Homo sapiens (Human)
O14645	IDLC_HUMAN	DNALI1	Axonemal dynein light intermediate polypeptide 1 (Inner dynein arm light chain, axonemal) (hp28)	7802;	Homo sapiens (Human)
Q9BXS1	IDI2_HUMAN	IDI2	Isopentenyl-diphosphate delta-isomerase 2 (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase 2) (IPP isomerase 2) (IPPI2)	91734;	Homo sapiens (Human)
Q13907	IDI1_HUMAN	IDI1	Isopentenyl-diphosphate Delta-isomerase 1 (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase 1) (IPP isomerase 1) (IPPI1)	3422;	Homo sapiens (Human)
P48735	IDHP_HUMAN	IDH2	Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	3418;	Homo sapiens (Human)
O75874	IDHC_HUMAN	IDH1 PICD	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	3417;	Homo sapiens (Human)
P51553	IDH3G_HUMAN	IDH3G	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial (Isocitric dehydrogenase subunit gamma) (NAD(+)-specific ICDH subunit gamma)	3421;	Homo sapiens (Human)
O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Isocitric dehydrogenase subunit beta) (NAD(+)-specific ICDH subunit beta)	3420;	Homo sapiens (Human)
P50213	IDH3A_HUMAN	IDH3A	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit alpha) (NAD(+)-specific ICDH subunit alpha)	3419;	Homo sapiens (Human)
P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme (EC 3.4.24.56) (Abeta-degrading protease) (Insulin protease) (Insulinase) (Insulysin)	3416;	Homo sapiens (Human)
P98153	IDD_HUMAN	DGCR2 IDD KIAA0163	Integral membrane protein DGCR2/IDD	9993;	Homo sapiens (Human)
Q9NZ38	IDAS1_HUMAN	IDI2-AS1 C10orf110 HT009	Uncharacterized protein IDI2-AS1 (IDI2 antisense RNA 1) (IDI2 antisense gene protein 1)		Homo sapiens (Human)
P47928	ID4_HUMAN	ID4 BHLHB27	DNA-binding protein inhibitor ID-4 (Class B basic helix-loop-helix protein 27) (bHLHb27) (Inhibitor of DNA binding 4) (Inhibitor of differentiation 4)	3400;	Homo sapiens (Human)
Q02535	ID3_HUMAN	ID3 1R21 BHLHB25 HEIR1	DNA-binding protein inhibitor ID-3 (Class B basic helix-loop-helix protein 25) (bHLHb25) (Helix-loop-helix protein HEIR-1) (ID-like protein inhibitor HLH 1R21) (Inhibitor of DNA binding 3) (Inhibitor of differentiation 3)	3399;	Homo sapiens (Human)
Q02363	ID2_HUMAN	ID2 BHLHB26	DNA-binding protein inhibitor ID-2 (Class B basic helix-loop-helix protein 26) (bHLHb26) (Inhibitor of DNA binding 2) (Inhibitor of differentiation 2)	3398;	Homo sapiens (Human)
Q14602	ID2B_HUMAN	ID2B	Putative DNA-binding protein inhibitor ID-2B (Inhibitor of DNA binding 2B)		Homo sapiens (Human)
P41134	ID1_HUMAN	ID1 BHLHB24 ID	DNA-binding protein inhibitor ID-1 (Class B basic helix-loop-helix protein 24) (bHLHb24) (Inhibitor of DNA binding 1) (Inhibitor of differentiation 1)	3397;	Homo sapiens (Human)
Q14197	ICT1_HUMAN	MRPL58 DS1 ICT1	Peptidyl-tRNA hydrolase ICT1, mitochondrial (EC 3.1.1.29) (39S ribosomal protein L58, mitochondrial) (MRP-L58) (Digestion substraction 1) (DS-1) (Immature colon carcinoma transcript 1 protein) (Mitochondrial large ribosomal subunit protein mL62)	3396;	Homo sapiens (Human)
Q9Y6W8	ICOS_HUMAN	ICOS AILIM	Inducible T-cell costimulator (Activation-inducible lymphocyte immunomediatory molecule) (CD antigen CD278)	29851;	Homo sapiens (Human)
O75144	ICOSL_HUMAN	ICOSLG B7H2 B7RP1 ICOSL KIAA0653	ICOS ligand (B7 homolog 2) (B7-H2) (B7-like protein Gl50) (B7-related protein 1) (B7RP-1) (CD antigen CD275)	23308;	Homo sapiens (Human)
O60725	ICMT_HUMAN	ICMT PCCMT	Protein-S-isoprenylcysteine O-methyltransferase (EC 2.1.1.100) (Isoprenylcysteine carboxylmethyltransferase) (Prenylated protein carboxyl methyltransferase) (PPMT) (Prenylcysteine carboxyl methyltransferase) (pcCMT)	23463;	Homo sapiens (Human)
P54105	ICLN_HUMAN	CLNS1A CLCI ICLN	Methylosome subunit pICln (Chloride channel, nucleotide sensitive 1A) (Chloride conductance regulatory protein ICln) (I(Cln)) (Chloride ion current inducer protein) (ClCI) (Reticulocyte pICln)	1207;	Homo sapiens (Human)
Q8WWN9	ICEF1_HUMAN	IPCEF1 KIAA0403	Interactor protein for cytohesin exchange factors 1 (Phosphoinositide-binding protein PIP3-E)	26034;	Homo sapiens (Human)
Q659A1	ICE2_HUMAN	ICE2 BRCC1 NARG2 UNQ3101/PRO10100	Little elongation complex subunit 2 (Interactor of little elongator complex ELL subunit 2) (NMDA receptor-regulated protein 2)	79664;	Homo sapiens (Human)
Q9Y2F5	ICE1_HUMAN	ICE1 KIAA0947	Little elongation complex subunit 1 (Interactor of little elongator complex ELL subunit 1)	23379;	Homo sapiens (Human)
Q9UMF0	ICAM5_HUMAN	ICAM5 TLCN TLN	Intercellular adhesion molecule 5 (ICAM-5) (Telencephalin)	7087;	Homo sapiens (Human)
Q14773	ICAM4_HUMAN	ICAM4 LW	Intercellular adhesion molecule 4 (ICAM-4) (Landsteiner-Wiener blood group glycoprotein) (LW blood group protein) (CD antigen CD242)	3386;	Homo sapiens (Human)
P32942	ICAM3_HUMAN	ICAM3	Intercellular adhesion molecule 3 (ICAM-3) (CDw50) (ICAM-R) (CD antigen CD50)	3385;	Homo sapiens (Human)
P13598	ICAM2_HUMAN	ICAM2	Intercellular adhesion molecule 2 (ICAM-2) (CD antigen CD102)	3384;	Homo sapiens (Human)
P05362	ICAM1_HUMAN	ICAM1	Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54)	3383;	Homo sapiens (Human)
P20810	ICAL_HUMAN	CAST	Calpastatin (Calpain inhibitor) (Sperm BS-17 component)	831;	Homo sapiens (Human)
Q05084	ICA69_HUMAN	ICA1	Islet cell autoantigen 1 (69 kDa islet cell autoantigen) (ICA69) (Islet cell autoantigen p69) (ICAp69) (p69)	3382;	Homo sapiens (Human)
Q8NDH6	ICA1L_HUMAN	ICA1L ALS2CR14 ALS2CR15	Islet cell autoantigen 1-like protein (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 14 protein) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 15 protein)	130026;	Homo sapiens (Human)
P05155	IC1_HUMAN	SERPING1 C1IN C1NH	Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1)	710;	Homo sapiens (Human)
Q9P2D0	IBTK_HUMAN	IBTK BTKI KIAA1417	Inhibitor of Bruton tyrosine kinase (IBtk)	25998;	Homo sapiens (Human)
Q8WX77	IBPL1_HUMAN	IGFBPL1 IGFBPRP4	Insulin-like growth factor-binding protein-like 1 (IGFBP-related protein 10) (Insulin-like growth factor-binding-related protein 4) (IGFBP-rP4)	347252;	Homo sapiens (Human)
Q16270	IBP7_HUMAN	IGFBP7 MAC25 PSF	Insulin-like growth factor-binding protein 7 (IBP-7) (IGF-binding protein 7) (IGFBP-7) (IGFBP-rP1) (MAC25 protein) (PGI2-stimulating factor) (Prostacyclin-stimulating factor) (Tumor-derived adhesion factor) (TAF)	3490;	Homo sapiens (Human)
P24592	IBP6_HUMAN	IGFBP6 IBP6	Insulin-like growth factor-binding protein 6 (IBP-6) (IGF-binding protein 6) (IGFBP-6)	3489;	Homo sapiens (Human)
P24593	IBP5_HUMAN	IGFBP5 IBP5	Insulin-like growth factor-binding protein 5 (IBP-5) (IGF-binding protein 5) (IGFBP-5)	3488;	Homo sapiens (Human)
P22692	IBP4_HUMAN	IGFBP4 IBP4	Insulin-like growth factor-binding protein 4 (IBP-4) (IGF-binding protein 4) (IGFBP-4)	3487;	Homo sapiens (Human)
P17936	IBP3_HUMAN	IGFBP3 IBP3	Insulin-like growth factor-binding protein 3 (IBP-3) (IGF-binding protein 3) (IGFBP-3)	3486;	Homo sapiens (Human)
P18065	IBP2_HUMAN	IGFBP2 BP2 IBP2	Insulin-like growth factor-binding protein 2 (IBP-2) (IGF-binding protein 2) (IGFBP-2)	3485;	Homo sapiens (Human)
P08833	IBP1_HUMAN	IGFBP1 IBP1	Insulin-like growth factor-binding protein 1 (IBP-1) (IGF-binding protein 1) (IGFBP-1) (Placental protein 12) (PP12)	3484;	Homo sapiens (Human)
B1ANH7	IBADT_HUMAN	IBA57-DT C1orf148 IBA57-AS1	Putative uncharacterized protein IBA57-DT (IBA57 antisense RNA 1) (IBA57 antisense gene protein 1) (IBA57 divergent transcripte)		Homo sapiens (Human)
Q8WUF5	IASPP_HUMAN	PPP1R13L IASPP NKIP1 PPP1R13BL RAI	RelA-associated inhibitor (Inhibitor of ASPP protein) (Protein iASPP) (NFkB-interacting protein 1) (PPP1R13B-like protein)	10848;	Homo sapiens (Human)
P10997	IAPP_HUMAN	IAPP	Islet amyloid polypeptide (Amylin) (Diabetes-associated peptide) (DAP) (Insulinoma amyloid peptide)	3375;	Homo sapiens (Human)
Q2TAA2	IAH1_HUMAN	IAH1	Isoamyl acetate-hydrolyzing esterase 1 homolog (EC 3.1.-.-)	285148;	Homo sapiens (Human)
P32019	I5P2_HUMAN	INPP5B OCRL2	Type II inositol 1,4,5-trisphosphate 5-phosphatase (EC 3.1.3.36) (75 kDa inositol polyphosphate-5-phosphatase) (Phosphoinositide 5-phosphatase) (5PTase)	3633;	Homo sapiens (Human)
Q14642	I5P1_HUMAN	INPP5A 5PTASE	Inositol polyphosphate-5-phosphatase A (EC 3.1.3.56) (43 kDa inositol polyphosphate 5-phosphatase) (Type I inositol 1,4,5-trisphosphate 5-phosphatase) (5PTase)	3632;	Homo sapiens (Human)
A6NMX2	I4E1B_HUMAN	EIF4E1B	Eukaryotic translation initiation factor 4E type 1B	253314;	Homo sapiens (Human)
Q9UBH0	I36RA_HUMAN	IL36RN FIL1D IL1F5 IL1HY1 IL1L1 IL1RP3 UNQ1896/PRO4342	Interleukin-36 receptor antagonist protein (IL-36Ra) (FIL1 delta) (IL-1-related protein 3) (IL-1RP3) (Interleukin-1 HY1) (IL-1HY1) (Interleukin-1 delta) (IL-1 delta) (Interleukin-1 family member 5) (IL-1F5) (Interleukin-1 receptor antagonist homolog 1) (IL-1ra homolog 1) (Interleukin-1-like protein 1) (IL-1L1)	26525;	Homo sapiens (Human)
Q9H1B7	I2BPL_HUMAN	IRF2BPL C14orf4 EAP1 KIAA1865 My039	Probable E3 ubiquitin-protein ligase IRF2BPL (EC 2.3.2.27) (Enhanced at puberty protein 1) (Interferon regulatory factor 2-binding protein-like)	64207;	Homo sapiens (Human)
Q7Z5L9	I2BP2_HUMAN	IRF2BP2	Interferon regulatory factor 2-binding protein 2 (IRF-2-binding protein 2) (IRF-2BP2)	359948;	Homo sapiens (Human)
Q8IU81	I2BP1_HUMAN	IRF2BP1	Interferon regulatory factor 2-binding protein 1 (IRF-2-binding protein 1) (IRF-2BP1) (Probable E3 ubiquitin-protein ligase IRF2BP1) (EC 2.3.2.27) (Probable RING-type E3 ubiquitin transferase IRF2BP1)	26145;	Homo sapiens (Human)
Q6UWB1	I27RA_HUMAN	IL27RA CRL1 TCCR WSX1 UNQ296/PRO336	Interleukin-27 receptor subunit alpha (IL-27 receptor subunit alpha) (IL-27R subunit alpha) (IL-27R-alpha) (IL-27RA) (Cytokine receptor WSX-1) (Cytokine receptor-like 1) (Type I T-cell cytokine receptor) (TCCR) (ZcytoR1)	9466;	Homo sapiens (Human)
Q9H2X8	I27L2_HUMAN	IFI27L2 FAM14A TLH29	Interferon alpha-inducible protein 27-like protein 2 (Interferon-stimulated gene 12b protein) (ISG12(b)) (ISG12B) (Protein TLH29) (pIFI27-like protein)	83982;	Homo sapiens (Human)
Q96BM0	I27L1_HUMAN	IFI27L1 FAM14B	Interferon alpha-inducible protein 27-like protein 1 (Interferon-stimulated gene 12c protein) (ISG12(c)) (ISG12C)	122509;	Homo sapiens (Human)
Q6ZQW0	I23O2_HUMAN	IDO2 INDOL1	Indoleamine 2,3-dioxygenase 2 (IDO-2) (EC 1.13.11.-) (Indoleamine 2,3-dioxygenase-like protein 1) (Indoleamine-pyrrole 2,3-dioxygenase-like protein 1)	169355;	Homo sapiens (Human)
P14902	I23O1_HUMAN	IDO1 IDO INDO	Indoleamine 2,3-dioxygenase 1 (IDO-1) (EC 1.13.11.52) (Indoleamine-pyrrole 2,3-dioxygenase)	3620;	Homo sapiens (Human)
Q969J5	I22R2_HUMAN	IL22RA2 UNQ5793/PRO19598/PRO19822	Interleukin-22 receptor subunit alpha-2 (IL-22 receptor subunit alpha-2) (IL-22R-alpha-2) (IL-22RA2) (Cytokine receptor class-II member 10) (Cytokine receptor family 2 member 10) (CRF2-10) (Cytokine receptor family type 2, soluble 1) (CRF2-S1) (Interleukin-22-binding protein) (IL-22BP) (IL22BP) (ZcytoR16)	116379;	Homo sapiens (Human)
Q8N6P7	I22R1_HUMAN	IL22RA1 IL22R	Interleukin-22 receptor subunit alpha-1 (IL-22 receptor subunit alpha-1) (IL-22R-alpha-1) (IL-22RA1) (Cytokine receptor class-II member 9) (Cytokine receptor family 2 member 9) (CRF2-9) (ZcytoR11)	58985;	Homo sapiens (Human)
Q6UXL0	I20RB_HUMAN	IL20RB DIRS1 UNQ557/PRO1114	Interleukin-20 receptor subunit beta (IL-20 receptor subunit beta) (IL-20R-beta) (IL-20RB) (Fibronectin type III domain containing 6) (FNDC6) (IL-20R2)	53833;	Homo sapiens (Human)
Q9UHF4	I20RA_HUMAN	IL20RA UNQ681/PRO1315	Interleukin-20 receptor subunit alpha (IL-20 receptor subunit alpha) (IL-20R-alpha) (IL-20RA) (Cytokine receptor class-II member 8) (Cytokine receptor family 2 member 8) (CRF2-8) (IL-20R1) (ZcytoR7)	53832;	Homo sapiens (Human)
Q9H9L3	I20L2_HUMAN	ISG20L2 HSD-38 HSD38	Interferon-stimulated 20 kDa exonuclease-like 2 (EC 3.1.-.-)	81875;	Homo sapiens (Human)
O95256	I18RA_HUMAN	IL18RAP IL1R7	Interleukin-18 receptor accessory protein (IL-18 receptor accessory protein) (IL-18RAcP) (EC 3.2.2.6) (Accessory protein-like) (AcPL) (CD218 antigen-like family member B) (CDw218b) (IL-1R accessory protein-like) (IL-1RAcPL) (Interleukin-1 receptor 7) (IL-1R-7) (IL-1R7) (Interleukin-18 receptor accessory protein-like) (Interleukin-18 receptor beta) (IL-18R-beta) (IL-18Rbeta) (CD antigen CD218b)	8807;	Homo sapiens (Human)
O95998	I18BP_HUMAN	IL18BP	Interleukin-18-binding protein (IL-18BP) (Tadekinig-alfa)	10068;	Homo sapiens (Human)
Q8NFR9	I17RE_HUMAN	IL17RE UNQ3056/PRO9877	Interleukin-17 receptor E (IL-17 receptor E) (IL-17RE)	132014;	Homo sapiens (Human)
Q8NFM7	I17RD_HUMAN	IL17RD IL17RLM SEF UNQ6115/PRO20026	Interleukin-17 receptor D (IL-17 receptor D) (IL-17RD) (IL17Rhom) (Interleukin-17 receptor-like protein) (Sef homolog) (hSef)	54756;	Homo sapiens (Human)
Q8NAC3	I17RC_HUMAN	IL17RC UNQ6118/PRO20040/PRO38901	Interleukin-17 receptor C (IL-17 receptor C) (IL-17RC) (Interleukin-17 receptor homolog) (IL17Rhom) (Interleukin-17 receptor-like protein) (IL-17RL) (ZcytoR14)	84818;	Homo sapiens (Human)
Q9NRM6	I17RB_HUMAN	IL17RB CRL4 EVI27 IL17BR UNQ2501/PRO19612	Interleukin-17 receptor B (IL-17 receptor B) (IL-17RB) (Cytokine receptor-like 4) (IL-17 receptor homolog 1) (IL-17Rh1) (IL17Rh1) (Interleukin-17B receptor) (IL-17B receptor)	55540;	Homo sapiens (Human)
Q96F46	I17RA_HUMAN	IL17RA IL17R	Interleukin-17 receptor A (IL-17 receptor A) (IL-17RA) (CDw217) (CD antigen CD217)	23765;	Homo sapiens (Human)
Q6ZVW7	I17EL_HUMAN	IL17REL	Putative interleukin-17 receptor E-like (IL-17 receptor E-like) (IL-17RE-like)	400935;	Homo sapiens (Human)
Q13261	I15RA_HUMAN	IL15RA	Interleukin-15 receptor subunit alpha (IL-15 receptor subunit alpha) (IL-15R-alpha) (IL-15RA) (CD antigen CD215) [Cleaved into: Soluble interleukin-15 receptor subunit alpha (sIL-15 receptor subunit alpha) (sIL-15R-alpha) (sIL-15RA)]	3601;	Homo sapiens (Human)
Q14627	I13R2_HUMAN	IL13RA2 IL13R	Interleukin-13 receptor subunit alpha-2 (IL-13 receptor subunit alpha-2) (IL-13R subunit alpha-2) (IL-13R-alpha-2) (IL-13RA2) (Interleukin-13-binding protein) (CD antigen CD213a2)	3598;	Homo sapiens (Human)
P78552	I13R1_HUMAN	IL13RA1 IL13R IL13RA	Interleukin-13 receptor subunit alpha-1 (IL-13 receptor subunit alpha-1) (IL-13R subunit alpha-1) (IL-13R-alpha-1) (IL-13RA1) (Cancer/testis antigen 19) (CT19) (CD antigen CD213a1)	3597;	Homo sapiens (Human)
Q99665	I12R2_HUMAN	IL12RB2	Interleukin-12 receptor subunit beta-2 (IL-12 receptor subunit beta-2) (IL-12R subunit beta-2) (IL-12R-beta-2) (IL-12RB2)	3595;	Homo sapiens (Human)
P42701	I12R1_HUMAN	IL12RB1 IL12R IL12RB	Interleukin-12 receptor subunit beta-1 (IL-12 receptor subunit beta-1) (IL-12R subunit beta-1) (IL-12R-beta-1) (IL-12RB1) (IL-12 receptor beta component) (CD antigen CD212)	3594;	Homo sapiens (Human)
Q14626	I11RA_HUMAN	IL11RA	Interleukin-11 receptor subunit alpha (IL-11 receptor subunit alpha) (IL-11R subunit alpha) (IL-11R-alpha) (IL-11RA) [Cleaved into: Soluble interleukin-11 receptor subunit alpha (sIL-11R) (sIL-11RA) (sIL11RA)]	3590;	Homo sapiens (Human)
Q08334	I10R2_HUMAN	IL10RB CRFB4 D21S58 D21S66	Interleukin-10 receptor subunit beta (IL-10 receptor subunit beta) (IL-10R subunit beta) (IL-10RB) (Cytokine receptor class-II member 4) (Cytokine receptor family 2 member 4) (CRF2-4) (Interleukin-10 receptor subunit 2) (IL-10R subunit 2) (IL-10R2) (CD antigen CDw210b)	3588;	Homo sapiens (Human)
Q13651	I10R1_HUMAN	IL10RA IL10R	Interleukin-10 receptor subunit alpha (IL-10 receptor subunit alpha) (IL-10R subunit alpha) (IL-10RA) (CDw210a) (Interleukin-10 receptor subunit 1) (IL-10R subunit 1) (IL-10R1) (CD antigen CD210)	3587;	Homo sapiens (Human)
O75409	HYPM_HUMAN	H2AP CXorf27 HYPM	Huntingtin-interacting protein M (Histone H2A.P) (Huntingtin yeast partner M)	25763;	Homo sapiens (Human)
Q9NX55	HYPK_HUMAN	HYPK C15orf63 HSPC136	Huntingtin-interacting protein K (Huntingtin yeast partner K)	25764;	Homo sapiens (Human)
Q9UF12	HYPDH_HUMAN	PRODH2 HSPOX1 HYPDH	Hydroxyproline dehydrogenase (HYPDH) (EC 1.5.5.3) (Kidney and liver proline oxidase 1) (HsPOX1) (Probable proline dehydrogenase 2) (EC 1.5.5.2) (Probable proline oxidase 2)	58510;	Homo sapiens (Human)
Q9Y4L1	HYOU1_HUMAN	HYOU1 GRP170 ORP150	Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170)	10525;	Homo sapiens (Human)
Q96M11	HYLS1_HUMAN	HYLS1 HLS	Centriolar and ciliogenesis-associated protein HYLS1 (Hydrolethalus syndrome protein 1)	219844;	Homo sapiens (Human)
A2RU49	HYKK_HUMAN	HYKK AGPHD1	Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1)	123688;	Homo sapiens (Human)
Q5T013	HYI_HUMAN	HYI HT036 SB156	Putative hydroxypyruvate isomerase (EC 5.3.1.22) (Endothelial cell apoptosis protein E-CE1)	81888;	Homo sapiens (Human)
P34913	HYES_HUMAN	EPHX2	Bifunctional epoxide hydrolase 2 [Includes: Cytosolic epoxide hydrolase 2 (CEH) (EC 3.3.2.10) (Epoxide hydratase) (Soluble epoxide hydrolase) (SEH); Lipid-phosphate phosphatase (EC 3.1.3.76)]	2053;	Homo sapiens (Human)
P07099	HYEP_HUMAN	EPHX1 EPHX EPOX	Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Microsomal epoxide hydrolase) (mEH)	2052;	Homo sapiens (Human)
Q4G0P3	HYDIN_HUMAN	HYDIN HYDIN1 KIAA1864	Hydrocephalus-inducing protein homolog	54768;	Homo sapiens (Human)
Q9BYI3	HYCCI_HUMAN	FAM126A DRCTNNB1A	Hyccin (Down-regulated by CTNNB1 protein A) (Protein FAM126A)	84668;	Homo sapiens (Human)
O00219	HYAS3_HUMAN	HAS3	Hyaluronan synthase 3 (EC 2.4.1.212) (Hyaluronate synthase 3) (Hyaluronic acid synthase 3) (HA synthase 3)	3038;	Homo sapiens (Human)
Q92819	HYAS2_HUMAN	HAS2	Hyaluronan synthase 2 (EC 2.4.1.212) (Hyaluronate synthase 2) (Hyaluronic acid synthase 2) (HA synthase 2)	3037;	Homo sapiens (Human)
Q92839	HYAS1_HUMAN	HAS1 HAS	Hyaluronan synthase 1 (EC 2.4.1.212) (Hyaluronate synthase 1) (Hyaluronic acid synthase 1) (HA synthase 1) (HuHAS1)	3036;	Homo sapiens (Human)
P38567	HYALP_HUMAN	SPAM1 HYAL3 PH20	Hyaluronidase PH-20 (Hyal-PH20) (EC 3.2.1.35) (Hyaluronoglucosaminidase PH-20) (Sperm adhesion molecule 1) (Sperm surface protein PH-20)	6677;	Homo sapiens (Human)
Q2M3T9	HYAL4_HUMAN	HYAL4	Hyaluronidase-4 (Hyal-4) (EC 3.2.1.35) (Chondroitin sulfate endo-beta-N-acetylgalactosaminidase) (Chondroitin sulfate hydrolase) (CSHY) (Hyaluronoglucosaminidase-4)	23553;	Homo sapiens (Human)
O43820	HYAL3_HUMAN	HYAL3 LUCA3	Hyaluronidase-3 (Hyal-3) (EC 3.2.1.35) (Hyaluronoglucosaminidase-3) (Lung carcinoma protein 3) (LuCa-3)	8372;	Homo sapiens (Human)
Q12891	HYAL2_HUMAN	HYAL2 LUCA2	Hyaluronidase-2 (Hyal-2) (EC 3.2.1.35) (Hyaluronoglucosaminidase-2) (Lung carcinoma protein 2) (LuCa-2)	8692;	Homo sapiens (Human)
Q12794	HYAL1_HUMAN	HYAL1 LUCA1	Hyaluronidase-1 (Hyal-1) (EC 3.2.1.35) (Hyaluronoglucosaminidase-1) (Lung carcinoma protein 1) (LuCa-1)	3373;	Homo sapiens (Human)
P35557	HXK4_HUMAN	GCK	Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV) (HK IV) (Hexokinase-D)	2645;	Homo sapiens (Human)
P52790	HXK3_HUMAN	HK3	Hexokinase-3 (EC 2.7.1.1) (Hexokinase type III) (HK III) (Hexokinase-C)	3101;	Homo sapiens (Human)
P52789	HXK2_HUMAN	HK2	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Hexokinase-B) (Muscle form hexokinase)	3099;	Homo sapiens (Human)
P19367	HXK1_HUMAN	HK1	Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I) (Hexokinase-A)	3098;	Homo sapiens (Human)
P28356	HXD9_HUMAN	HOXD9 HOX4C	Homeobox protein Hox-D9 (Homeobox protein Hox-4C) (Homeobox protein Hox-5.2)	3235;	Homo sapiens (Human)
P13378	HXD8_HUMAN	HOXD8 HOX4E	Homeobox protein Hox-D8 (Homeobox protein Hox-4E) (Homeobox protein Hox-5.4)	3234;	Homo sapiens (Human)
P09016	HXD4_HUMAN	HOXD4 HOX4B	Homeobox protein Hox-D4 (Homeobox protein HHO.C13) (Homeobox protein Hox-4B) (Homeobox protein Hox-5.1)	3233;	Homo sapiens (Human)
P31249	HXD3_HUMAN	HOXD3 HOX1D HOX4A	Homeobox protein Hox-D3 (Homeobox protein Hox-4A)	3232;	Homo sapiens (Human)
Q9GZZ0	HXD1_HUMAN	HOXD1 HOX4 HOX4G	Homeobox protein Hox-D1 (Homeobox protein Hox-GG)	3231;	Homo sapiens (Human)
P35453	HXD13_HUMAN	HOXD13 HOX4I	Homeobox protein Hox-D13 (Homeobox protein Hox-4I)	3239;	Homo sapiens (Human)
P35452	HXD12_HUMAN	HOXD12 HOX4H	Homeobox protein Hox-D12 (Homeobox protein Hox-4H)	3238;	Homo sapiens (Human)
P31277	HXD11_HUMAN	HOXD11 HOX4F	Homeobox protein Hox-D11 (Homeobox protein Hox-4F)	3237;	Homo sapiens (Human)
P28358	HXD10_HUMAN	HOXD10 HOX4D HOX4E	Homeobox protein Hox-D10 (Homeobox protein Hox-4D) (Homeobox protein Hox-4E)	3236;	Homo sapiens (Human)
P31274	HXC9_HUMAN	HOXC9 HOX3B	Homeobox protein Hox-C9 (Homeobox protein Hox-3B)	3225;	Homo sapiens (Human)
P31273	HXC8_HUMAN	HOXC8 HOX3A	Homeobox protein Hox-C8 (Homeobox protein Hox-3A)	3224;	Homo sapiens (Human)
P09630	HXC6_HUMAN	HOXC6 HOX3C	Homeobox protein Hox-C6 (Homeobox protein CP25) (Homeobox protein HHO.C8) (Homeobox protein Hox-3C)	3223;	Homo sapiens (Human)
Q00444	HXC5_HUMAN	HOXC5 HOX3D	Homeobox protein Hox-C5 (Homeobox protein CP11) (Homeobox protein Hox-3D)	3222;	Homo sapiens (Human)
P09017	HXC4_HUMAN	HOXC4 HOX3E	Homeobox protein Hox-C4 (Homeobox protein CP19) (Homeobox protein Hox-3E)	3221;	Homo sapiens (Human)
P31276	HXC13_HUMAN	HOXC13 HOX3G	Homeobox protein Hox-C13 (Homeobox protein Hox-3G)	3229;	Homo sapiens (Human)
P31275	HXC12_HUMAN	HOXC12 HOC3F HOX3F	Homeobox protein Hox-C12 (Homeobox protein Hox-3F)	3228;	Homo sapiens (Human)
O43248	HXC11_HUMAN	HOXC11 HOX3H	Homeobox protein Hox-C11 (Homeobox protein Hox-3H)	3227;	Homo sapiens (Human)
Q9NYD6	HXC10_HUMAN	HOXC10 HOX3I	Homeobox protein Hox-C10 (Homeobox protein Hox-3I)	3226;	Homo sapiens (Human)
P17482	HXB9_HUMAN	HOXB9 HOX2E	Homeobox protein Hox-B9 (Homeobox protein Hox-2.5) (Homeobox protein Hox-2E)	3219;	Homo sapiens (Human)
